iter	Passed	Remaining
0	1	115
1	2	106
2	3	107
3	4	106
4	5	111
5	7	112
6	8	112
7	9	113
8	11	112
9	12	111
10	13	110
11	14	109
12	16	107
13	17	107
14	18	106
15	20	106
16	21	105
17	22	104
18	24	102
19	25	101
20	26	99
21	27	98
22	29	97
23	30	95
24	31	93
25	32	92
26	33	91
27	34	89
28	36	88
29	37	87
30	38	85
31	39	84
32	40	82
33	41	81
34	43	80
35	44	79
36	45	78
37	47	76
38	48	75
39	49	74
40	50	72
41	50	70
42	52	69
43	53	68
44	54	67
45	56	65
46	57	64
47	58	63
48	59	62
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	68	51
57	69	50
58	70	49
59	71	47
60	73	46
61	74	45
62	75	44
63	76	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	117	0
